"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2010,541.297
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2021,624.047
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2022,631.978
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2030,667.905
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2035,678.433
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2040,691.889
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2050,724.958
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2022,631.978
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2030,627.662
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2035,612.762
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2040,611.652
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2050,622.893
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2022,631.978
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2030,573.066
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2035,534.904
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2040,527.66
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2050,540.968
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2010,43.279
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2021,71.089
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2022,75.48
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2030,119.979
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,150.213
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2040,178.291
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,227.058
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2022,75.48
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2030,142.11
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,194.525
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2040,244.519
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,327.009
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2022,75.48
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2030,166.409
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,241.184
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2040,306.453
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,384.85
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2010,0.777
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2021,5.431
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2022,6.598
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2030,22.66
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2035,35.41
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2040,48.549
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2050,70.024
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Solar","Total energy supply","EJ","World",2022,6.598
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Solar","Total energy supply","EJ","World",2030,27.209
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Solar","Total energy supply","EJ","World",2035,47.896
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Solar","Total energy supply","EJ","World",2040,70.322
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Solar","Total energy supply","EJ","World",2050,106.079
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2022,6.598
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2030,35.259
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2035,66.165
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2040,96.66
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2050,138.049
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2010,1.232
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2021,6.713
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2022,7.648
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2030,18.823
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2035,27.007
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2040,33.39
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2050,42.485
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Wind","Total energy supply","EJ","World",2022,7.648
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Wind","Total energy supply","EJ","World",2030,22.35
